-50.44564056	-42.31067657	-1.32322862
-49.94564056	-42.31067657	-1.32597480
-49.44564056	-42.31067657	-1.32917336
-48.94564056	-42.31067657	-1.33107002
-48.44564056	-42.31067657	-1.33154962
-47.94564056	-42.31067657	-1.33256373
-47.44564056	-42.31067657	-1.33257072
-46.94564056	-42.31067657	-1.33309086
-46.44564056	-42.31067657	-1.33309326
-45.94564056	-42.31067657	-1.33335913
-45.44564056	-42.31067657	-1.33338487
-44.94564056	-42.31067657	-1.33352341
-44.44564056	-42.31067657	-1.33355437
-43.94564056	-42.31067657	-1.33362855
-43.44564056	-42.31067657	-1.33365469
-42.94564056	-42.31067657	-1.33369553
-42.44564056	-42.31067657	-1.33371454
-41.94564056	-42.31067657	-1.33373756
-41.44564056	-42.31067657	-1.33375037
-40.94564056	-42.31067657	-1.33376358
-40.44564056	-42.31067657	-1.33377181
-39.94564056	-42.31067657	-1.33377947
-39.44564056	-42.31067657	-1.33378457
-38.94564056	-42.31067657	-1.33378898
-38.44564056	-42.31067657	-1.33379200
-37.94564056	-42.31067657	-1.33379443
-37.44564056	-42.31067657	-1.33379603
-36.94564056	-42.31067657	-1.33379713
-36.44564056	-42.31067657	-1.33379764
-35.94564056	-42.31067657	-1.33379767
-35.44564056	-42.31067657	-1.33379716
-34.94564056	-42.31067657	-1.33379607
-34.44564056	-42.31067657	-1.33379428
-33.94564056	-42.31067657	-1.33379164
-33.44564056	-42.31067657	-1.33378791
-32.94564056	-42.31067657	-1.33378278
-32.44564056	-42.31067657	-1.33377580
-31.94564056	-42.31067657	-1.33376638
-31.44564056	-42.31067657	-1.33375371
-30.94564056	-42.31067657	-1.33373673
-30.44564056	-42.31067657	-1.33371398
-29.94564056	-42.31067657	-1.33368359
-29.44564056	-42.31067657	-1.33364295
-28.94564056	-42.31067657	-1.33358871
-28.44564056	-42.31067657	-1.33351603
-27.94564056	-42.31067657	-1.33341881
-27.44564056	-42.31067657	-1.33328839
-26.94564056	-42.31067657	-1.33311446
-26.44564056	-42.31067657	-1.33288023
-25.94564056	-42.31067657	-1.33257295
-25.44564056	-42.31067657	-1.33216349
-24.94564056	-42.31067657	-1.33162214
-24.44564056	-42.31067657	-1.33086712
-23.94564056	-42.31067657	-1.32987138
-23.44564056	-42.31067657	-1.32845808
-22.94564056	-42.31067657	-1.32669374
-22.44564056	-42.31067657	-1.32431567
-21.94564056	-42.31067657	-1.32144680
-21.44564056	-42.31067657	-1.31785796
-20.94564056	-42.31067657	-1.31307543
-20.44564056	-42.31067657	-1.29982774
-19.94564056	-42.31067657	-1.29236409
-19.44564056	-42.31067657	-1.27028290
-18.94564056	-42.31067657	-1.25816053
-18.44564056	-42.31067657	-1.24315446
-17.94564056	-42.31067657	-1.21915824
-17.44564056	-42.31067657	-1.20168128
-16.94564056	-42.31067657	-1.17785509
-16.44564056	-42.31067657	-0.91900998
-15.94564056	-42.31067657	-1.15273088
-15.44564056	-42.31067657	-1.10738354
-14.94564056	-42.31067657	-1.13121064
-14.44564056	-42.31067657	-1.11597513
-13.94564056	-42.31067657	-0.92364919
-13.44564056	-42.31067657	-0.92963547
-12.94564056	-42.31067657	-0.96435595
-12.44564056	-42.31067657	-1.07543385
-11.94564056	-42.31067657	-0.99252671
-11.44564056	-42.31067657	-1.01724648
-10.94564056	-42.31067657	-1.17172408
-10.44564056	-42.31067657	-1.16168356
-9.94564056	-42.31067657	-1.07520795
-9.44564056	-42.31067657	-1.10869586
-8.94564056	-42.31067657	-1.13165510
-8.44564056	-42.31067657	-1.14369810
-7.94564056	-42.31067657	-1.16859400
-7.44564056	-42.31067657	-1.17697477
-6.94564056	-42.31067657	-1.20426524
-6.44564056	-42.31067657	-1.24264789
-5.94564056	-42.31067657	-1.24363387
-5.44564056	-42.31067657	-1.23833621
-4.94564056	-42.31067657	-1.25791502
-4.44564056	-42.31067657	-1.27601874
-3.94564056	-42.31067657	-1.29296017
-3.44564056	-42.31067657	-1.31513155
-2.94564056	-42.31067657	-1.35895801
-2.44564056	-42.31067657	-1.35540664
-1.94564056	-42.31067657	-1.35634542
-1.44564056	-42.31067657	-1.40392566
-0.94564056	-42.31067657	-1.40149283
-0.44564056	-42.31067657	-1.41481352
0.05435944	-42.31067657	-1.43743193
0.55435944	-42.31067657	-1.43653798
1.05435944	-42.31067657	-1.47417569
1.55435944	-42.31067657	-1.47395229
2.05435944	-42.31067657	-1.49388862
2.55435944	-42.31067657	-1.53139234
3.05435944	-42.31067657	-1.52003837
3.55435944	-42.31067657	-1.52462161
4.05435944	-42.31067657	-1.54535306
4.55435944	-42.31067657	-1.55750966
5.05435944	-42.31067657	-1.57965207
5.55435944	-42.31067657	-1.59788692
6.05435944	-42.31067657	-1.62035501
6.55435944	-42.31067657	-1.59769619
7.05435944	-42.31067657	-1.61859322
7.55435944	-42.31067657	-1.62236357
8.05435944	-42.31067657	-1.63623106
8.55435944	-42.31067657	-1.65003455
9.05435944	-42.31067657	-1.66664994
9.55435944	-42.31067657	-1.66831148
10.05435944	-42.31067657	-1.69259560
10.55435944	-42.31067657	-1.76980626
11.05435944	-42.31067657	-1.78065705
11.55435944	-42.31067657	-1.82205720
12.05435944	-42.31067657	-1.84647942
12.55435944	-42.31067657	-1.86098599
13.05435944	-42.31067657	-1.90578353
13.55435944	-42.31067657	-1.92661667
14.05435944	-42.31067657	-1.84820244
14.55435944	-42.31067657	-1.84204760
15.05435944	-42.31067657	-1.81933428
15.55435944	-42.31067657	-1.81413421
16.05435944	-42.31067657	-1.76425445
16.55435944	-42.31067657	-1.76666272
17.05435944	-42.31067657	-1.80661081
17.55435944	-42.31067657	-1.81426437
18.05435944	-42.31067657	-1.82576834
18.55435944	-42.31067657	-1.83803868
19.05435944	-42.31067657	-1.84411001
19.55435944	-42.31067657	-1.84710026
20.05435944	-42.31067657	-1.88854682
20.55435944	-42.31067657	-1.91557269
21.05435944	-42.31067657	-1.93720318
21.55435944	-42.31067657	-1.95410073
22.05435944	-42.31067657	-1.97245163
22.55435944	-42.31067657	-1.98429676
23.05435944	-42.31067657	-2.03817391
23.55435944	-42.31067657	-2.04980159
24.05435944	-42.31067657	-2.00871177
24.55435944	-42.31067657	-2.00389815
25.05435944	-42.31067657	-1.99483000
25.55435944	-42.31067657	-1.99468460
26.05435944	-42.31067657	-1.98803114
26.55435944	-42.31067657	-1.99112167
27.05435944	-42.31067657	-1.96604502
27.55435944	-42.31067657	-1.99260914
28.05435944	-42.31067657	-2.01494908
28.55435944	-42.31067657	-1.98604858
29.05435944	-42.31067657	-2.02859989
29.55435944	-42.31067657	-2.02266622
30.05435944	-42.31067657	-2.04631114
30.55435944	-42.31067657	-2.05971890
31.05435944	-42.31067657	-2.07432938
31.55435944	-42.31067657	-2.06378944
32.05435944	-42.31067657	-2.12120819
-50.44564056	-41.81067657	-1.33233532
-49.94564056	-41.81067657	-1.33367048
-49.44564056	-41.81067657	-1.34719926
-48.94564056	-41.81067657	-1.34795867
-48.44564056	-41.81067657	-1.35258097
-47.94564056	-41.81067657	-1.35298004
-47.44564056	-41.81067657	-1.35437145
-46.94564056	-41.81067657	-1.35456986
-46.44564056	-41.81067657	-1.35502131
-45.94564056	-41.81067657	-1.35512197
-45.44564056	-41.81067657	-1.35528440
-44.94564056	-41.81067657	-1.35533814
-44.44564056	-41.81067657	-1.35540472
-43.94564056	-41.81067657	-1.35543488
-43.44564056	-41.81067657	-1.35546597
-42.94564056	-41.81067657	-1.35548351
-42.44564056	-41.81067657	-1.35549962
-41.94564056	-41.81067657	-1.35551003
-41.44564056	-41.81067657	-1.35551895
-40.94564056	-41.81067657	-1.35552517
-40.44564056	-41.81067657	-1.35553028
-39.94564056	-41.81067657	-1.35553399
-39.44564056	-41.81067657	-1.35553694
-38.94564056	-41.81067657	-1.35553909
-38.44564056	-41.81067657	-1.35554073
